cluster,avg_magnitude,max_magnitude,cluster_size,avg_depth,avg_energy,avg_freq,depth_risk,avg_magnitude_norm,max_magnitude_norm,cluster_size_norm,avg_energy_norm,avg_freq_norm,depth_risk_norm,risk_score,risk_label
14,4.553543307086614,6.4,127,16.775787401574803,0.2450100714154914,0.07508019830854472,0.0562562983798629,0.7501227473586587,0.5483870967741937,0.05691056910569106,0.7501227473586588,0.09586300242188114,0.5877811604260486,51.16163166452726,High
15,4.5256410256410255,5.6,78,26.7005,0.2385211687537266,0.029906616017727084,0.03610043140015523,0.7082371054657424,0.29032258064516125,0.03347680535628886,0.7082371054657427,0.033506886869853515,0.3480132372500424,43.088271711087884,Medium
16,4.397826086956522,5.6,46,16.05823913043478,0.20879676440849318,0.016908212560386417,0.05862269794400003,0.5163671051310379,0.29032258064516125,0.018173122907699665,0.5163671051310376,0.015564321616564639,0.6159311134629977,37.0280405360423,Medium
17,4.3930232558139535,5.1,43,12.323581395348837,0.20767982693347725,0.01877691645133502,0.07505489480096489,0.5091573124227935,0.12903225806451601,0.01673840267814443,0.5091573124227938,0.018143818522662357,0.81140341527866,38.790284379431675,Medium
18,4.496,6.0,50,36.135799999999996,0.23162790697674393,0.023679012345678957,0.02692819327980009,0.6637413394919172,0.4193548387096775,0.020086083213773316,0.663741339491917,0.024910509197467772,0.23890314601916438,39.51821511468186,Medium
19,4.52,5.3,15,34.083800000000004,0.2372093023255811,0.013786008230452633,0.028503183805631088,0.699769053117782,0.19354838709677424,0.0033476805356288854,0.6997690531177828,0.011254534256309925,0.2576387433408064,40.00027469476076,Medium
20,4.505,5.7,20,12.098,0.23372093023255786,0.01462962962962959,0.07634753397465262,0.6772517321016158,0.3225806451612905,0.005738880918220947,0.6772517321016166,0.01241904127084294,0.826780248753652,48.11616159326489,Medium
21,4.491304347826087,5.7,23,13.785217391304348,0.23053589484327575,0.016827697262479836,0.06763512321355054,0.6566924389998983,0.3225806451612905,0.007173601147776184,0.6566924389998995,0.01545318096830595,0.7231401207378821,45.59263081950821,Medium
22,4.527777777777778,5.4,18,10.54277777777778,0.23901808785529685,0.012448559670781855,0.08663425903643451,0.7114447010520912,0.22580645161290347,0.0047824007651841235,0.7114447010520913,0.009408364599123448,0.9491479299270367,51.128217920869545,High
23,4.438461538461539,5.0,13,10.957076923076924,0.21824686940965982,0.009496676163342762,0.08363248028203445,0.5773672055427257,0.09677419354838723,0.0023912003825920618,0.5773672055427251,0.005333682456339036,0.9134397037068017,43.154987632695466,Medium
24,4.559090909090909,6.3,22,13.032136363636363,0.2463002114164902,0.01604938271604935,0.07126498589277211,0.7584505563720336,0.5161290322580647,0.006695361071257771,0.7584505563720344,0.014378821368471677,0.766319837933241,52.27566598400051,High
25,4.6,5.1,10,14.692000000000002,0.25581395348837177,0.01030864197530859,0.06372673973999489,0.8198614318706685,0.12903225806451601,0.0009564801530368245,0.8198614318706695,0.006454493147625054,0.6766472068198992,51.871615520691506,High
26,4.053846153846154,4.7,13,10.0,0.12880143112701226,0.008262108262108207,0.09090909090909091,0.0,0.0,0.0023912003825920618,0.0,0.003629525849705378,0.9999999999999998,15.084119266148893,Low
27,4.444262295081968,6.4,61,17.09577049180328,0.21959588257720136,0.03555960331916611,0.05526153199461517,0.5860750388066487,0.5483870967741937,0.02534672405547585,0.5860750388066481,0.04131008315199403,0.5759477289752318,41.604938671461326,Medium
28,4.533333333333333,4.8,9,14.404444444444444,0.2403100775193797,0.010425240054869656,0.06491633006347375,0.719784449576597,0.032258064516129004,0.0004782400765184127,0.7197844495765983,0.006615441271584934,0.6907982032309172,46.588205064120494,Medium
