place,magnitude,longitude,latitude,depth_km,time,year,month,day,energy_index,depth_score,frequency_index,mag_variability,composite_score
"61 km S of Murghob, Tajikistan",4.6,73.9605,37.6155,10.0,2023-11-04 19:55:33.972,2023,11,4,0.2558139534883721,0.3247886905645809,0.02469135802469136,0.45684552213278035,0.24543172418816533
"34 km SSE of Jumla, Nepal",4.0,82.2728,28.976,10.0,2023-11-03 22:31:34.600,2023,11,3,0.11627906976744162,0.3247886905645809,0.017901234567901235,0.454121675594665,0.19448840704092485
"31 km NW of Sarupathar, India",4.2,96.6025,26.4186,118.316,2023-11-03 19:39:09.153,2023,11,3,0.16279069767441845,0.02163894691958035,0.040740740740740744,0.4555635831610474,0.14090620357528383
"32 km W of Kunduz, Afghanistan",4.2,68.4926,36.7294,45.632,2023-11-03 19:15:45.172,2023,11,3,0.16279069767441845,0.06962467120065503,0.0728395061728395,0.45701922244664256,0.1611456718964165
"27 km E of Dailekh, Nepal",4.1,81.9912,28.8332,10.0,2023-11-03 18:44:39.613,2023,11,3,0.13953488372092981,0.3247886905645809,0.027160493827160494,0.4605157545579811,0.20590186858395793
"43 km E of Dailekh, Nepal",5.7,82.1531,28.858,12.0,2023-11-03 18:02:53.465,2023,11,3,0.511627906976744,0.27341391702058154,0.019753086419753086,0.5292669351090419,0.3317515585683003
"186 km SSE of Pyapon, Myanmar",4.4,96.1897,14.67,10.0,2023-11-03 10:33:31.531,2023,11,3,0.20930232558139528,0.3247886905645809,0.013580246913580247,0.5234895357984438,0.23637147869279523
"40 km W of Kunduz, Afghanistan",4.4,68.4069,36.7355,49.83,2023-11-03 07:33:37.465,2023,11,3,0.20930232558139528,0.06311896802525963,0.06728395061728394,0.5216349416246832,0.1841017848578267
"27 km W of Kunduz, Afghanistan",4.4,68.5516,36.7565,45.976,2023-11-03 07:29:33.114,2023,11,3,0.20930232558139528,0.06904783258129213,0.07592592592592592,0.5216349416246832,0.18774449482399533
"101 km SSE of Murghob, Tajikistan",4.5,74.5584,37.3894,53.734,2023-11-01 22:44:01.935,2023,11,1,0.23255813953488325,0.05796444512068447,0.020987654320987655,0.5216349416246832,0.17937861494132962
"26 km NW of Teknāf, Bangladesh",4.1,92.127,21.033,22.237,2023-11-01 21:44:36.662,2023,11,1,0.13953488372092981,0.1489322902084042,0.001851851851851852,0.5250830664265952,0.16529570478137873
"88 km SSE of Port Blair, India",4.9,93.063,10.9291,93.275,2023-11-01 12:51:15.409,2023,11,1,0.3255813953488369,0.02981629348478748,0.04135802469135803,0.5270127225269817,0.21079897629517652
"90 km SSE of Murghob, Tajikistan",4.1,74.5228,37.4823,68.478,2023-10-31 22:26:21.090,2023,10,31,0.13953488372092981,0.04372258262409695,0.02160493827160494,0.5270127225269817,0.14422099790529816
